itc_code,itc_domain,wbs_layer,wbs_label,cpc_anchor_prefixes,ipc_anchor_prefixes,keyword_stems,source_frameworks
1-1,Regolith Processing / Refining,1,WBS-1 Materials,"C22B;B07B;B02C;B03","C22B;B07B;B02C;B03","regolith processing;beneficiation;particle size;mineral separation;excavat;regolith refin;oxygen extraction","ISECG GER (Resource Prospecting); KICT 2023-050 §2; NASA ISRU Roadmap"
1-2,Binder / Geopolymer,1,WBS-1 Materials,"C04B28;C04B12;C04B7","C04B28;C04B12;C04B7","geopolymer;binder;cement;concrete;sulfur concrete;calcium carbonate","ISECG GER; KICT 2023-050 §3"
1-3,Composite / Ceramic / Sintered Bodies,1,WBS-1 Materials,"C04B35;B22F3;C04B33","C04B35;B22F3;C04B33","ceramic;sintered body;vitrif;composite material;fiber reinforc","ISECG GER; KICT 2023-050 §4"
2-1,Extrusion-based Additive Manufacturing,2,WBS-2 Manufacturing,"B33Y10;B29C48;B28B1;B33Y30","B33Y10;B29C48;B28B1;B33Y30","3d print;additive manufactur;extrusion;contour crafting;layer-by-layer;fused deposition","NASA AAC (Mueller 2016); ISECG GER"
2-2,Powder Bed Melting / Sintering,2,WBS-2 Manufacturing,"B22F10;B22F12;H05B6","B22F10;B22F12;H05B6","selective laser sinter;SLS;SLM;electron beam melt;powder bed;microwave sinter","NASA ISRU Roadmap"
2-3,Solar / Laser Sintering,2,WBS-2 Manufacturing,"B23K26;F24S","B23K26;F24S","solar sinter;laser sinter;concentrated solar;solar furnace","ISECG GER; DLR solar sintering"
2-4,Process Monitoring / NDI,2,WBS-2 Manufacturing,"G01N;G01B;B33Y50","G01N;G01B;B33Y50","non-destructive;NDI;quality control;in-situ monitor;process monitor;inspect;ultrasonic test","NASA ISM (Werkheiser 2015)"
3-1,Autonomous Mobile Robots,3,WBS-3 Robotics,"B25J9;B62D;G05D1","B25J9;B62D;G05D1","autonomous robot;mobile robot;lunar rover;mars rover;robotic vehicle;autonomous vehicle;navigation","ISECG GER (Surface Mobility)"
3-2,Tele-operation,3,WBS-3 Robotics,"G06F3;H04L","G06F3;H04L","tele-operat;teleoperat;remote operat;remote control;telerobot;telepresence","ESA METERON; ISECG GER"
3-3,Autonomous Construction Systems,3,WBS-3 Robotics,"G05D1/02;E04G21","G05D1/02;E04G21","autonomous construct;swarm construct;multi-robot;automated construct;robotic construct;automated assembl","NASA AAC; ISECG GER"
4-1,Habitat Structures,4,WBS-4 Structures & Systems,"E04H15;B64G1/48;E04B1;E04H1","E04H15;B64G1/48;E04B1;E04H1","habitat;shelter;living quarter;habitation;pressurized module;base structure;dwelling","ISECG GER (Surface Habitation); KICT 2023-050"
4-2,Shielding Structures,4,WBS-4 Structures & Systems,"G21F1;E04B1/92","G21F1;E04B1/92","shielding;radiation protect;micrometeorite;regolith shield;protection structure;cosmic ray","ISECG GER; NASA ISRU Roadmap"
4-3,Landing Pad / Infrastructure,4,WBS-4 Structures & Systems,"E01C;B64G1/62","E01C;B64G1/62","landing pad;launch pad;runway;road;surface stabiliz;plume;infrastructure","NASA CLPS; ISECG GER"
4-4,Deployable Structures,4,WBS-4 Structures & Systems,"E04H15;B64G1/22","E04H15;B64G1/22","inflatable;deployable;expandable;foldable;self-assembl;origami;pop-up","NASA TransHab heritage; ISECG GER"
4-5,Life Support / ECLSS,4,WBS-4 Structures & Systems,"B01D53;C02F;A01G","B01D53;C02F;A01G","life support;ECLSS;environmental control;air revitalization;water recycl;CO2 removal;bioregenerative","NASA ECLSS; ISECG GER"
